age;sex;Medu;Fedu;reason;absences;G1;G3
18;F;4;4;course;6;5;6
17;F;1;1;course;4;5;6
15;F;1;1;other;10;7;10
15;F;4;2;home;2;15;15
16;F;3;3;home;4;6;10
16;M;4;3;reputation;10;15;15
16;M;2;2;home;0;12;11
17;F;4;4;home;6;6;6
15;M;3;2;home;0;16;19
15;M;3;4;home;0;14;15
15;F;4;4;reputation;0;10;9
15;F;2;1;reputation;4;10;12
15;M;4;4;course;2;14;14
15;M;4;3;course;2;10;11
15;M;2;2;home;0;14;16
16;F;4;4;home;4;14;14
16;F;4;4;reputation;6;13;14
16;F;3;3;reputation;4;8;10
17;M;3;2;course;16;6;5
16;M;4;3;home;4;8;10
15;M;4;3;reputation;0;13;15
15;M;4;4;other;0;12;15
16;M;4;2;course;2;15;16
16;M;2;2;reputation;0;13;12
15;F;2;4;course;2;10;8
16;F;2;2;home;14;6;8
15;M;2;2;home;2;12;11
15;M;4;2;other;4;15;15
16;M;3;4;home;4;11;11
16;M;4;4;home;16;10;11
15;M;4;4;home;0;9;12
15;M;4;4;reputation;0;17;17
15;M;4;3;course;0;17;16
15;M;3;3;course;0;8;12
16;M;3;2;home;0;12;15
15;F;2;3;other;0;8;6
15;M;4;3;home;2;15;18
16;M;4;4;reputation;7;15;15
15;F;3;4;course;2;12;11
15;F;2;2;reputation;8;14;13
16;F;2;2;home;25;7;11
15;M;4;4;home;8;12;12
15;M;4;4;course;2;19;18
15;M;2;2;course;0;8;11
16;F;2;2;course;14;10;9
15;F;4;3;course;8;8;6
16;F;3;3;home;12;11;11
16;M;4;3;reputation;4;19;20
15;M;4;2;home;2;15;14
15;F;4;4;other;2;7;7
16;F;2;2;course;2;12;13
15;F;4;2;other;2;11;13
15;M;4;2;other;6;11;10
15;F;4;4;course;0;8;11
15;F;3;3;other;6;10;13
16;F;2;1;other;8;8;10
15;F;4;3;reputation;0;14;15
15;M;4;4;reputation;4;14;15
15;M;1;2;home;2;9;9
16;F;4;2;course;2;15;16
16;F;4;4;other;6;10;11
16;F;1;1;course;6;10;11
16;F;1;2;reputation;4;8;9
16;F;4;3;home;2;10;9
15;F;4;3;reputation;0;10;10
16;F;4;3;course;2;16;15
15;M;4;4;reputation;4;13;12
16;F;3;1;course;4;7;6
15;F;2;2;reputation;2;8;8
15;F;3;1;reputation;12;16;16
16;M;3;1;reputation;0;13;15
15;M;4;2;course;0;10;10
15;F;1;1;reputation;2;8;5
16;M;3;1;reputation;2;12;14
16;F;3;3;home;54;11;11
15;M;4;3;home;6;9;10
15;M;4;0;course;8;11;10
16;F;2;2;reputation;0;11;11
17;M;2;1;home;2;8;10
16;F;3;4;course;12;5;5
15;M;2;3;course;2;10;12
15;M;2;3;home;4;11;11
15;F;3;2;reputation;10;7;6
15;M;2;2;home;4;15;15
15;F;1;1;home;2;9;10
15;F;4;4;reputation;6;7;8
16;F;2;2;course;4;8;6
15;F;4;2;reputation;4;13;14
16;M;2;2;reputation;12;11;10
16;M;4;4;reputation;18;8;7
16;F;3;3;home;0;7;8
15;F;4;3;reputation;4;16;18
16;F;3;1;home;4;7;6
16;F;4;2;home;0;11;10
15;M;2;2;reputation;6;11;14
15;F;1;1;home;2;7;10
16;M;4;3;reputation;2;11;15
16;F;2;1;course;2;8;10
16;F;4;4;reputation;6;11;14
16;F;4;3;course;0;7;8
16;M;4;4;other;14;7;5
16;M;4;4;other;0;16;17
15;M;4;4;course;4;10;14
15;F;3;2;home;26;7;6
15;M;3;4;course;0;16;18
15;F;3;3;reputation;10;10;11
15;F;2;2;course;8;7;8
16;M;3;3;home;2;16;18
15;M;4;4;home;6;10;13
16;F;4;4;other;4;14;16
15;M;4;4;course;6;18;19
16;F;3;3;reputation;0;7;10
16;F;2;2;home;6;10;13
15;M;4;2;course;10;18;19
15;M;2;1;reputation;8;9;9
16;M;4;4;course;2;15;16
15;M;4;4;reputation;2;11;14
16;M;3;3;home;0;13;13
17;M;1;3;course;20;9;8
15;M;3;4;reputation;6;14;13
15;F;1;2;course;2;16;15
15;M;2;2;home;6;16;15
16;F;2;4;course;2;13;13
16;M;4;4;course;18;14;13
16;F;2;2;home;0;8;8
15;M;3;4;home;0;13;12
15;F;3;4;home;0;7;11
19;F;0;1;course;2;7;9
18;M;2;2;reputation;0;7;0
16;M;4;4;course;8;18;18
15;F;3;4;course;0;12;0
15;F;1;1;course;0;8;0
17;F;2;2;course;12;10;12
16;F;3;4;course;16;12;11
15;M;3;4;course;0;9;0
15;F;4;4;course;0;11;0
17;M;3;4;course;0;10;0
16;F;3;3;course;0;4;0
16;M;1;1;course;0;14;12
15;F;4;4;course;0;16;15
15;M;4;3;course;0;7;0
16;M;2;2;reputation;8;9;9
15;F;4;4;course;2;9;11
16;F;1;1;course;2;14;13
17;M;2;1;home;0;5;0
15;F;1;1;course;0;8;11
15;F;3;2;home;0;6;0
15;F;1;2;course;2;10;11
16;M;4;4;course;0;7;0
15;M;2;1;course;0;8;10
18;M;1;1;course;0;6;0
16;M;2;1;course;6;12;14
15;F;3;3;reputation;8;10;10
19;M;3;2;home;0;5;0
17;F;4;4;course;0;11;12
15;M;2;3;course;2;11;8
17;M;1;2;reputation;8;16;13
18;F;1;1;course;6;9;10
16;M;2;2;course;2;17;15
16;M;3;3;course;4;10;12
17;M;2;1;course;0;7;0
15;M;3;2;course;6;5;7
16;M;1;2;course;0;7;0
17;M;1;3;course;2;10;10
17;M;1;1;course;0;5;7
16;M;3;2;course;16;12;12
16;M;2;2;course;4;10;10
16;F;4;2;home;0;14;16
16;F;2;2;home;0;6;0
16;F;4;4;reputation;0;14;14
16;M;3;4;course;0;6;0
16;M;1;0;reputation;2;13;16
17;M;4;4;reputation;0;13;10
16;F;1;3;home;0;8;0
16;F;3;3;reputation;4;10;9
17;M;4;3;course;4;10;9
16;F;2;2;reputation;2;13;11
